filename,tag,step,value
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,100,2.6683661937713623
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,200,2.8009305000305176
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,300,2.728053569793701
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,434,2.605905532836914
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,534,2.5942325592041016
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,634,2.725090503692627
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,769,2.593198776245117
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,869,2.7383129596710205
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,969,2.7713284492492676
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,1103,2.622575521469116
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,1203,2.7897727489471436
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,1303,2.608276128768921
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,1437,2.5732383728027344
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,1537,2.7103497982025146
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,1637,2.6891696453094482
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,1771,2.5280263423919678
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,1871,2.7144367694854736
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,1971,2.6602604389190674
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,2105,2.789879083633423
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,2205,2.4792888164520264
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,2305,2.69753098487854
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,2439,2.7234654426574707
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,2539,2.4796969890594482
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,2639,2.5541298389434814
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,2773,2.6513993740081787
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,2873,2.675899028778076
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,2973,2.7998757362365723
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,3107,2.728079319000244
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,3207,2.682525873184204
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,3307,2.8294191360473633
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,3441,2.6133575439453125
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,3541,2.6290810108184814
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,3641,2.6254727840423584
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,3775,2.5291924476623535
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,3875,2.743974208831787
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,3975,2.70344877243042
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,4109,2.7187488079071045
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,4209,2.6749062538146973
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,4309,2.6959593296051025
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,4443,2.6853904724121094
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,4543,2.7569708824157715
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,4643,2.611926555633545
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,4777,2.4945690631866455
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,4877,2.5293900966644287
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,4977,2.5906503200531006
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,5111,2.598963975906372
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,5211,2.734410524368286
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,5311,2.564690589904785
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,5445,2.638165235519409
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,5545,2.6395676136016846
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,5645,2.549522638320923
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,5779,2.702664852142334
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,5879,2.6803245544433594
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,5979,2.488926410675049
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,6113,2.550049304962158
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,6213,2.6848466396331787
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,6313,2.566004753112793
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,6448,2.6104319095611572
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,6548,2.523076057434082
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/current_loss,6648,2.638922929763794
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,100,2.682119369506836
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,100,2.682119369506836
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,200,2.678086519241333
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,200,2.678086519241333
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,300,2.6734824180603027
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,300,2.6734824180603027
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,434,2.6609721183776855
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,434,2.6609721183776855
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,534,2.655238151550293
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,534,2.655238151550293
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,634,2.6415066719055176
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,634,2.6415066719055176
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,769,2.636601448059082
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,769,2.636601448059082
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,869,2.6415653228759766
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,869,2.6415653228759766
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,969,2.635866641998291
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,969,2.635866641998291
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,1103,2.6427783966064453
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,1103,2.6427783966064453
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,1203,2.641432285308838
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,1203,2.641432285308838
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,1303,2.6410446166992188
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,1303,2.6410446166992188
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,1437,2.6301517486572266
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,1437,2.6301517486572266
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,1537,2.640462636947632
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,1537,2.640462636947632
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,1637,2.6392464637756348
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,1637,2.6392464637756348
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,1771,2.6281042098999023
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,1771,2.6281042098999023
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,1871,2.633709669113159
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,1871,2.633709669113159
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,1971,2.6382224559783936
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,1971,2.6382224559783936
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,2105,2.655874490737915
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,2105,2.655874490737915
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,2205,2.6433379650115967
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,2205,2.6433379650115967
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,2305,2.64188289642334
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,2305,2.64188289642334
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,2439,2.627499580383301
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,2439,2.627499580383301
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,2539,2.6303610801696777
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,2539,2.6303610801696777
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,2639,2.634869337081909
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,2639,2.634869337081909
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,2773,2.6388943195343018
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,2773,2.6388943195343018
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,2873,2.639700412750244
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,2873,2.639700412750244
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,2973,2.634894609451294
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,2973,2.634894609451294
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,3107,2.6309244632720947
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,3107,2.6309244632720947
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,3207,2.631131410598755
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,3207,2.631131410598755
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,3307,2.637566566467285
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,3307,2.637566566467285
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,3441,2.643548011779785
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,3441,2.643548011779785
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,3541,2.6403703689575195
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,3541,2.6403703689575195
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,3641,2.63269305229187
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,3641,2.63269305229187
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,3775,2.6385796070098877
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,3775,2.6385796070098877
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,3875,2.634065866470337
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,3875,2.634065866470337
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,3975,2.631099224090576
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,3975,2.631099224090576
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,4109,2.6421475410461426
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,4109,2.6421475410461426
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,4209,2.6360466480255127
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,4209,2.6360466480255127
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,4309,2.632974863052368
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,4309,2.632974863052368
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,4443,2.6345016956329346
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,4443,2.6345016956329346
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,4543,2.635225772857666
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,4543,2.635225772857666
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,4643,2.634326219558716
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,4643,2.634326219558716
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,4777,2.639441967010498
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,4777,2.639441967010498
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,4877,2.632376194000244
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,4877,2.632376194000244
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,4977,2.6283860206604004
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,4977,2.6283860206604004
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,5111,2.635509967803955
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,5111,2.635509967803955
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,5211,2.637312889099121
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,5211,2.637312889099121
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,5311,2.6302263736724854
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,5311,2.6302263736724854
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,5445,2.6214053630828857
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,5445,2.6214053630828857
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,5545,2.6265859603881836
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,5545,2.6265859603881836
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,5645,2.6279947757720947
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,5645,2.6279947757720947
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,5779,2.6369590759277344
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,5779,2.6369590759277344
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,5879,2.6362621784210205
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,5879,2.6362621784210205
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,5979,2.627488374710083
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,5979,2.627488374710083
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,6113,2.6250905990600586
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,6113,2.6250905990600586
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,6213,2.6308929920196533
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,6213,2.6308929920196533
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,6313,2.631459951400757
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,6313,2.631459951400757
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,6448,2.636733055114746
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,6448,2.636733055114746
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,6548,2.6301255226135254
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,6548,2.6301255226135254
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,6648,2.630084991455078
./tensorboard/events.out.tfevents.1745944791.145ce17825db.2897.0,train/tot_loss,6648,2.630084991455078
