lang,variant,id,f0_ref_mean,f0_syn_mean,F1_ref,F1_syn,jitter_ref,jitter_syn,wer,pesq
jp,original,jp_krishna_001,132.11541470501663,118.0240303178647,587.1061516980789,828.6378880844451,0.029229543736047126,0.05449459316358546,1.0,1.027052402496338
jp,original,jp_krishna_002,131.19017591966002,131.28133257733668,641.275653594587,800.9777975879961,0.03111628771051484,0.04856482067112804,1.0,1.0460772514343262
jp,original,jp_krishna_003,142.7232438971862,162.80395508003966,630.9333931838689,836.3175402974492,0.0345527463467557,0.041907577300493014,1.0,1.2654008865356445
jp,original,jp_krishna_004,123.0496945692795,100.323526184916,635.0709343918297,850.9365390062227,0.03591154882452529,0.029973306099721916,3.0,1.044937252998352
jp,original,jp_krishna_005,139.03430266374951,102.22113853814052,597.4408975703876,792.7145324971963,0.034243611087650117,0.0396388723162468,1.0,1.0918266773223877
jp,original,jp_krishna_006,146.93882599719578,149.0902061588775,650.9508612913236,834.5307713313047,0.026871240034007118,0.01926780354972653,1.0,1.0531187057495117
jp,original,jp_krishna_007,148.95924549015388,137.70131457142975,770.3616168454465,947.1339423732944,0.06256387465168939,0.051524497611539107,2.0,1.033833384513855
jp,original,jp_krishna_008,132.0114459513603,130.39697961911097,617.6578657952184,782.9138982633982,0.03147772070364337,0.026433248733913266,1.0,1.1141602993011475
jp,original,jp_krishna_009,135.97946981232826,117.83705638178286,511.4220161558583,689.5721892767842,0.038799990168518164,0.022224685241926074,1.0,1.0449827909469604
jp,original,jp_krishna_010,135.92887694678586,122.2710146619357,628.8295503868386,774.6523813503298,0.03483678367171489,0.038999322907317766,1.0,1.023528814315796
jp,original,jp_krishna_011,135.56510250337462,128.97709803201315,575.5158124849527,791.8871402929,0.03165805001723364,0.020320894280933727,1.0,1.0897207260131836
jp,original,jp_krishna_012,138.72423503567916,133.0962993126075,731.818763674064,923.1101643374336,0.03236334991703947,0.025708340513066984,5.0,1.0203365087509155
jp,original,jp_krishna_013,141.65087466264308,174.198669361589,740.2217822271842,1022.6349182084031,0.026114264617628925,0.05163024586093813,2.0,1.1695348024368286
jp,original,jp_krishna_014,145.02514595995382,153.27652038674654,571.1151466278527,541.2468663835433,0.0191359635835529,0.01366036398371783,1.0,1.6768807172775269
jp,original,jp_krishna_015,134.62297126261245,119.62435544132877,697.4600354285194,852.7490502939427,0.024644325669326575,0.02990420338361893,1.0,1.0951040983200073
jp,original,jp_krishna_016,135.0831161195463,141.07690307016185,572.6578569256134,570.4307195434018,0.022841413243206297,0.032938687112147216,1.0,1.1097090244293213
jp,original,jp_krishna_017,126.33941281821154,153.7250990359948,494.81770664132864,745.4972804374509,0.02424345498087986,0.023021774614494773,1.0,1.0183956623077393
jp,original,jp_krishna_018,130.5204759379589,172.5762931822212,579.646240075201,682.8690216914672,0.02481795335535536,0.019419244233689754,3.0,1.0557975769042969
jp,original,jp_krishna_019,136.25499448290216,138.3429048870529,580.5063789094753,657.8647478642598,0.025603371137080836,0.0188024684168594,1.0,1.0526363849639893
jp,original,jp_krishna_020,129.937827488507,183.6932784185462,686.7464159924315,741.5019275948467,0.024977386302329603,0.027466569672057486,1.0,1.0243245363235474
jp,pure,jp_krishna_001,132.11541470501663,148.58977998390012,587.1061516980789,686.381661297975,0.029229543736047126,0.027532925034557832,1.0,1.0308855772018433
jp,pure,jp_krishna_002,131.19017591966002,128.8437713233987,641.275653594587,749.4146298562758,0.03111628771051484,0.021177466347147973,1.0,1.028817057609558
jp,pure,jp_krishna_003,142.7232438971862,133.77593330151495,630.9333931838689,868.9913428581103,0.0345527463467557,0.021611604058930443,1.0,1.0368103981018066
jp,pure,jp_krishna_004,123.0496945692795,125.81837268715208,635.0709343918297,707.3261042512084,0.03591154882452529,0.03291928139474889,1.0,1.0265532732009888
jp,pure,jp_krishna_005,139.03430266374951,94.40478995721139,597.4408975703876,659.5199262351439,0.034243611087650117,0.09915050415706478,1.0,1.050635576248169
jp,pure,jp_krishna_006,146.93882599719578,124.13200137442777,650.9508612913236,815.5695580297066,0.026871240034007118,0.03942796355063214,1.0,1.0466184616088867
jp,pure,jp_krishna_007,148.95924549015388,136.4734788641067,770.3616168454465,784.5488063528494,0.06256387465168939,0.028890594759778128,5.0,1.0395474433898926
jp,pure,jp_krishna_008,132.0114459513603,134.81736323887532,617.6578657952184,516.294560654126,0.03147772070364337,0.04068305644108057,1.0,1.0317981243133545
jp,pure,jp_krishna_009,135.97946981232826,122.64602806147347,511.4220161558583,699.5968730954824,0.038799990168518164,0.03472186316618966,1.0,1.2761012315750122
jp,pure,jp_krishna_010,135.92887694678586,127.82558251319348,628.8295503868386,671.1343295631762,0.03483678367171489,0.029178769174405504,1.0,1.0480526685714722
jp,pure,jp_krishna_011,135.56510250337462,136.75796589493564,575.5158124849527,600.1117774891558,0.03165805001723364,0.03162712540177563,1.0,1.1418416500091553
jp,pure,jp_krishna_012,138.72423503567916,,731.818763674064,656.023728976267,0.03236334991703947,,2.0,1.0427888631820679
jp,pure,jp_krishna_013,141.65087466264308,137.78871845309843,740.2217822271842,582.6838543888141,0.026114264617628925,0.021694530195753545,1.0,1.2527976036071777
jp,pure,jp_krishna_014,145.02514595995382,138.48467742114897,571.1151466278527,598.5712430919117,0.0191359635835529,0.027224141357114314,1.0,1.2062196731567383
jp,pure,jp_krishna_015,134.62297126261245,,697.4600354285194,527.4223843720389,0.024644325669326575,0.08369640829136378,2.0,1.0501182079315186
jp,pure,jp_krishna_016,135.0831161195463,139.3716274568774,572.6578569256134,548.8584249815724,0.022841413243206297,0.03138491028959144,1.0,1.0803114175796509
jp,pure,jp_krishna_017,126.33941281821154,116.43311533962981,494.81770664132864,499.14307294974515,0.02424345498087986,0.02737271192249568,1.0,1.0359913110733032
jp,pure,jp_krishna_018,130.5204759379589,112.74190019960234,579.646240075201,606.958987570572,0.02481795335535536,0.040801943762875006,1.0,1.037030577659607
jp,pure,jp_krishna_019,136.25499448290216,137.82125295448864,580.5063789094753,573.3689416400587,0.025603371137080836,0.02227422411392472,1.0,1.0305366516113281
jp,pure,jp_krishna_020,129.937827488507,,686.7464159924315,1145.420778236092,0.024977386302329603,,3.0,1.0426150560379028
jp,LoRA_whole,jp_krishna_001,132.11541470501663,148.91744260485373,587.1061516980789,634.1575908715444,0.029229543736047126,0.028746949776942143,1.0,1.0598750114440918
jp,LoRA_whole,jp_krishna_002,131.19017591966002,138.35762271431201,641.275653594587,741.6200715987837,0.03111628771051484,0.030747907765228136,1.0,1.043871283531189
jp,LoRA_whole,jp_krishna_003,142.7232438971862,142.24559022453627,630.9333931838689,785.0769348672388,0.0345527463467557,0.025370976441471887,1.0,1.0256023406982422
jp,LoRA_whole,jp_krishna_004,123.0496945692795,134.0430073363247,635.0709343918297,829.6359349248391,0.03591154882452529,0.024150800657817967,1.0,1.0229291915893555
jp,LoRA_whole,jp_krishna_005,139.03430266374951,147.09500609836306,597.4408975703876,731.9561043898489,0.034243611087650117,0.02247247668858527,1.0,1.115749478340149
jp,LoRA_whole,jp_krishna_006,146.93882599719578,,650.9508612913236,1021.2885541146755,0.026871240034007118,,1.0,1.0420886278152466
jp,LoRA_whole,jp_krishna_007,148.95924549015388,93.29419836251469,770.3616168454465,702.2298605153156,0.06256387465168939,0.047923607553506144,1.0,1.0370651483535767
jp,LoRA_whole,jp_krishna_008,132.0114459513603,72.99514804099415,617.6578657952184,694.6723817135305,0.03147772070364337,,1.0,1.051733374595642
jp,LoRA_whole,jp_krishna_009,135.97946981232826,322.839344366877,511.4220161558583,707.4570172802536,0.038799990168518164,,2.0,1.0505586862564087
jp,LoRA_whole,jp_krishna_010,135.92887694678586,126.19533460341293,628.8295503868386,545.2711758416148,0.03483678367171489,0.04922574226773472,4.0,1.1352171897888184
jp,LoRA_whole,jp_krishna_011,135.56510250337462,,575.5158124849527,664.2724791126323,0.03165805001723364,,2.0,1.0441416501998901
jp,LoRA_whole,jp_krishna_012,138.72423503567916,179.57258094323555,731.818763674064,660.3802961503781,0.03236334991703947,0.042506937820929944,1.0,1.0389701128005981
jp,LoRA_whole,jp_krishna_013,141.65087466264308,139.12713500820715,740.2217822271842,626.0726842453029,0.026114264617628925,0.025160479257623335,1.0,1.118751049041748
jp,LoRA_whole,jp_krishna_014,145.02514595995382,150.04995287723906,571.1151466278527,602.129015724846,0.0191359635835529,0.03044092802017146,1.0,3.3489413261413574
jp,LoRA_whole,jp_krishna_015,134.62297126261245,147.94553987084186,697.4600354285194,788.5045174364625,0.024644325669326575,0.02529606107185119,3.0,1.0267760753631592
jp,LoRA_whole,jp_krishna_016,135.0831161195463,127.32835214829267,572.6578569256134,609.1462945749396,0.022841413243206297,0.03042259070220582,1.0,1.0282986164093018
jp,LoRA_whole,jp_krishna_017,126.33941281821154,114.49917740379121,494.81770664132864,764.605429438196,0.02424345498087986,,1.0,1.045811653137207
jp,LoRA_whole,jp_krishna_018,130.5204759379589,126.94619371255027,579.646240075201,351.74301663467054,0.02481795335535536,0.02352321640159949,1.0,1.0710856914520264
jp,LoRA_whole,jp_krishna_019,136.25499448290216,110.84966772794681,580.5063789094753,798.015028313306,0.025603371137080836,0.09027842206391484,1.0,1.039587140083313
jp,LoRA_whole,jp_krishna_020,129.937827488507,148.49306535371954,686.7464159924315,607.8627198382842,0.024977386302329603,0.024807936934300005,1.0,1.0861512422561646
jp,LoRA_AR,jp_krishna_001,132.11541470501663,124.74906042015719,587.1061516980789,590.5716771503457,0.029229543736047126,0.036505775922887916,71.0,1.024010419845581
jp,LoRA_AR,jp_krishna_002,131.19017591966002,133.43751421393307,641.275653594587,799.5262337287212,0.03111628771051484,0.03718600536991955,1.0,1.0399515628814697
jp,LoRA_AR,jp_krishna_003,142.7232438971862,122.98359858848475,630.9333931838689,824.610584937634,0.0345527463467557,0.03341241208397929,1.0,1.0288264751434326
jp,LoRA_AR,jp_krishna_004,123.0496945692795,125.69490818420611,635.0709343918297,637.6835452678471,0.03591154882452529,0.029202198865408736,1.0,1.0233384370803833
jp,LoRA_AR,jp_krishna_005,139.03430266374951,121.9703065031721,597.4408975703876,764.9373948158096,0.034243611087650117,0.033895675665677125,1.0,1.0356502532958984
jp,LoRA_AR,jp_krishna_006,146.93882599719578,,650.9508612913236,569.8763910985512,0.026871240034007118,,8.0,1.0450656414031982
jp,LoRA_AR,jp_krishna_007,148.95924549015388,143.50763637699038,770.3616168454465,770.3334323554577,0.06256387465168939,0.026418815406624784,1.0,1.0271270275115967
jp,LoRA_AR,jp_krishna_008,132.0114459513603,,617.6578657952184,811.4383788932461,0.03147772070364337,0.021122946821130584,1.0,1.0504024028778076
jp,LoRA_AR,jp_krishna_009,135.97946981232826,123.10697695089364,511.4220161558583,701.2683457300058,0.038799990168518164,0.026602334493024654,1.0,1.068613052368164
jp,LoRA_AR,jp_krishna_010,135.92887694678586,,628.8295503868386,782.196498339974,0.03483678367171489,,1.0,1.0511823892593384
jp,LoRA_AR,jp_krishna_011,135.56510250337462,196.75966678315126,575.5158124849527,724.2200307905755,0.03165805001723364,0.0435115195146239,1.0,1.0426422357559204
jp,LoRA_AR,jp_krishna_012,138.72423503567916,131.2774061575015,731.818763674064,624.1159267426257,0.03236334991703947,0.019300215916196635,5.0,1.0258210897445679
jp,LoRA_AR,jp_krishna_013,141.65087466264308,131.86774515802475,740.2217822271842,641.1066403649548,0.026114264617628925,0.026347610594875538,2.0,1.0314769744873047
jp,LoRA_AR,jp_krishna_014,145.02514595995382,155.17591956515483,571.1151466278527,604.5984131399418,0.0191359635835529,0.019971709490905896,1.0,1.0364327430725098
jp,LoRA_AR,jp_krishna_015,134.62297126261245,142.46946739530077,697.4600354285194,593.425923501311,0.024644325669326575,0.03176413607387293,1.0,1.247056484222412
jp,LoRA_AR,jp_krishna_016,135.0831161195463,145.63775973196195,572.6578569256134,580.6877278180177,0.022841413243206297,0.01982901741981439,1.0,1.1758074760437012
jp,LoRA_AR,jp_krishna_017,126.33941281821154,136.67759141982296,494.81770664132864,526.8301884645222,0.02424345498087986,0.03644603862312918,1.0,1.1060281991958618
jp,LoRA_AR,jp_krishna_018,130.5204759379589,131.3583085400499,579.646240075201,436.64759540083276,0.02481795335535536,0.042394075269045296,1.0,1.048209309577942
jp,LoRA_AR,jp_krishna_019,136.25499448290216,141.9075191276964,580.5063789094753,501.70853979127185,0.025603371137080836,0.021653807394124834,3.0,1.0981788635253906
jp,LoRA_AR,jp_krishna_020,129.937827488507,132.4644694841267,686.7464159924315,587.2888071888517,0.024977386302329603,0.022547255461357767,2.0,1.0245767831802368
jp,LoRA_NAR,jp_krishna_001,132.11541470501663,137.97273755937508,587.1061516980789,641.5139410097805,0.029229543736047126,0.023590029428776967,1.0,1.0255802869796753
jp,LoRA_NAR,jp_krishna_002,131.19017591966002,124.481846502377,641.275653594587,741.5501694610417,0.03111628771051484,0.029870828975576805,1.0,1.0261976718902588
jp,LoRA_NAR,jp_krishna_003,142.7232438971862,125.90653689312538,630.9333931838689,858.7206631478101,0.0345527463467557,0.03361096044555362,2.0,1.0327438116073608
jp,LoRA_NAR,jp_krishna_004,123.0496945692795,131.94417703217053,635.0709343918297,481.98865395718343,0.03591154882452529,0.03059635912026586,3.0,1.0345911979675293
jp,LoRA_NAR,jp_krishna_005,139.03430266374951,133.8265227305674,597.4408975703876,805.7993905150884,0.034243611087650117,0.02637238330492044,1.0,1.0371263027191162
jp,LoRA_NAR,jp_krishna_006,146.93882599719578,138.85620965866173,650.9508612913236,817.0459157095148,0.026871240034007118,0.02409135205174251,1.0,1.034258484840393
jp,LoRA_NAR,jp_krishna_007,148.95924549015388,139.21137286953018,770.3616168454465,724.6397854331962,0.06256387465168939,0.027035724702219856,1.0,1.0212701559066772
jp,LoRA_NAR,jp_krishna_008,132.0114459513603,128.71428074920314,617.6578657952184,548.3220799695896,0.03147772070364337,0.03688308614046595,1.0,2.348804473876953
jp,LoRA_NAR,jp_krishna_009,135.97946981232826,,511.4220161558583,953.7677373126847,0.038799990168518164,,2.0,1.0534483194351196
jp,LoRA_NAR,jp_krishna_010,135.92887694678586,134.1890371022217,628.8295503868386,533.9287267859951,0.03483678367171489,0.03380682204748599,1.0,1.0466340780258179
jp,LoRA_NAR,jp_krishna_011,135.56510250337462,140.13548187336718,575.5158124849527,553.6284708201528,0.03165805001723364,0.024651735882668037,1.0,1.3193191289901733
jp,LoRA_NAR,jp_krishna_012,138.72423503567916,150.3031252672593,731.818763674064,640.5674861878724,0.03236334991703947,0.08793526336144214,1.0,1.0439708232879639
jp,LoRA_NAR,jp_krishna_013,141.65087466264308,130.68142679016776,740.2217822271842,592.2802459144164,0.026114264617628925,0.02266422795939217,1.0,1.0660483837127686
jp,LoRA_NAR,jp_krishna_014,145.02514595995382,128.0347826442503,571.1151466278527,650.5695725571344,0.0191359635835529,0.03363180501827021,1.0,1.8676692247390747
jp,LoRA_NAR,jp_krishna_015,134.62297126261245,135.6360007796825,697.4600354285194,718.6651048960626,0.024644325669326575,0.029371589230233246,7.0,1.0297023057937622
jp,LoRA_NAR,jp_krishna_016,135.0831161195463,141.24292965287725,572.6578569256134,526.6418385890017,0.022841413243206297,0.019685801436419882,1.0,1.0207643508911133
jp,LoRA_NAR,jp_krishna_017,126.33941281821154,117.9188937352969,494.81770664132864,517.178801532322,0.02424345498087986,0.03500021937077571,1.0,1.0753144025802612
jp,LoRA_NAR,jp_krishna_018,130.5204759379589,136.14399150082568,579.646240075201,488.55970074849216,0.02481795335535536,0.03783664021579035,1.0,1.0555897951126099
jp,LoRA_NAR,jp_krishna_019,136.25499448290216,128.84339486181304,580.5063789094753,618.0939014870094,0.025603371137080836,0.024096432440456606,4.0,1.0280791521072388
jp,LoRA_NAR,jp_krishna_020,129.937827488507,144.61656269421175,686.7464159924315,467.7083832096243,0.024977386302329603,0.021647161240126875,3.0,1.0308867692947388
